id	split	duration_bin_seconds	duration_seconds	speaker_id	speaker_gender	source_id	source_flac_blake3	wav_blake3	transcript_blake3
librispeech-test-clean-7127-75946-0016	test-clean	10-20	11.210000	7127	M	7127-75946-0016	e9d317cbe0f42f1e78100e532d2b32bd4a08455623384aea39935c8562478da7	e716c1d723ad9657f82f7c672cae535709d7716cf04b95568f0eb3432606c1fa	87179ead457cb17d0bafd9f22cf8d8133a1902e23b455157af284f2aab71461e
librispeech-test-clean-672-122797-0006	test-clean	10-20	13.950000	672	M	672-122797-0006	274c1bfaeedfbc694829b79707afd81055bdb6e90a7635c75f6fc65e4e98c312	d55f170f4b40c45f528fa675fdfa0c9e72e19a5f60f96fe63a0e20e371980db5	7e5f52b9a528d046c69309edcdba81fc66d8ee619bead783c3e19ce298eab64f
librispeech-test-clean-3729-6852-0006	test-clean	20-29	23.740000	3729	F	3729-6852-0006	6953a10567f1943ad2ed37078bf9edf7685c41beac556ccaaba1f54c83f45a9a	564670a410c0ad6e3d4201d4014f1f3eba3b5855d893f98b39f96831b304c056	20a85f5525199cdf23a872f8ca2ec3d9e2eadacd726ec0f810121bf49cfb67e6
librispeech-test-clean-1221-135766-0011	test-clean	20-29	21.345000	1221	F	1221-135766-0011	da0e88a954a9ed14e0d70dc9f47b391cc18baaf780cc8a8f810d39982faa9f9a	6d46cf36b6a7f677549f322ed771a9e83b08a199dc4f4c73a5debe173cd4e03e	208130da902b6e026f8d2cda328372f704969ea5e628af8f743540f9bf6e0456
librispeech-test-clean-908-31957-0025	test-clean	20-29	20.560000	908	M	908-31957-0025	52accfd690a7f7e6ba7c1a8efc406afb4d8ee821c515bda43b587aac8925af8c	aee5ccb0859e46c93a4886e1d1a5d32b811afe314b1540d6b1783271598f56a6	be3127f715692bba11e3f6607370668c1963fb1a664a80f8f61f59fe0810f0ac
librispeech-test-clean-4077-13754-0015	test-clean	20-29	22.205000	4077	M	4077-13754-0015	350b89b2207307f1de625fc779cecc3f2ca8bdf0ed8d65a281e8d31e5f0d4be7	60b30568079722af67b534414e087a0cba34bf7a4264fa4a105abc05ffacd9e8	c907daa938548555cb39b2d11f76d70f1679e5b83e06c54d139925c498ae935c
librispeech-test-other-1998-15444-0007	test-other	01-05	3.170000	1998	F	1998-15444-0007	6cd1f6e9fad4e5fec4dd73444f91635ff0e024569817f2ae0d718558fe72d728	99653fa39347a30aaee00ad021e6f1270cf9400973544f6f195e574237a4fe9d	590b579f754fa8d054afa534714d735dc24e13cc152798bc09cc31c6f50c6654
librispeech-test-other-3764-168670-0002	test-other	01-05	2.760063	3764	F	3764-168670-0002	12c6ac74c87d567ccbf5fe302c0623a9306e33f9daafaae1ef227aa10916ac80	0ab62a8f91ea9788f337466de70c540902aa93339f3d641059905879bb1911a2	49fdf6387ba60ddf7e89d97090ac6ad95fd158c1f1dd27e7b6e5734be3417661
librispeech-test-other-3005-163399-0018	test-other	01-05	2.490000	3005	M	3005-163399-0018	ef34fd3c63fd87432da2e2e1eca7f75b6cd5d631aed688355f60095f1bb4bb8d	af66140deaabc57de49d66f6f7b23ee04b2963b6376a5ed2ccaf1fa072a70d32	925792011c0651785e3b67b9bd898143926e901323bced939af76fae787b41ce
librispeech-test-other-1688-142285-0059	test-other	01-05	3.560000	1688	M	1688-142285-0059	4855ffb8c22ba4a1397eb40326b9b340f5113f1f685c9ed9e1f6c1802c3ccc69	0f51c9503554e930c39faabdf26366d3dc9e5232b344375d0f05973cf275b4c6	fdc1ae8606b7c7d089c8aed23591a79e096ad440371741eeac9cce2eaebe2c96
librispeech-test-other-3538-142836-0020	test-other	05-10	8.190000	3538	F	3538-142836-0020	4c41db36e8f558dccb7c826056795367dc503c5cf93e2951c1847dc5fd92efd3	06e1cc47a0a1af85625888cd599971cfafa454d825e3af96e810d8b2602aa52d	c21a06cbfcda1c1750f1e2d25f4fc38d3a553f75da8a5cef5b057bfd8f820119
librispeech-test-other-8280-266249-0043	test-other	05-10	5.095000	8280	F	8280-266249-0043	30649231f6895abb0661633a566bbda8a0531037f4111ab0608fce390f04cd56	5a386525410c16e20c07d34ff7b908656265484cb899b616928f9fb28a00d877	119de28dd06759e5164cd2b07b7f590c7d9a442e9d47d1486515157f4342f59b
librispeech-test-other-4852-28311-0023	test-other	05-10	7.310000	4852	M	4852-28311-0023	13ef31ecce855e9b885fab552466a1ca6830e388a56c4e5c1e045b6afaed433e	05c7225708df7a5e70198922218cf2604f4ac8c2574da70acebe11fb4cff5bb6	fd5d328009fabacce451b40477605a03a2f72f94d6d7f7419751f0850e333392
librispeech-test-other-6432-63723-0000	test-other	05-10	6.255000	6432	M	6432-63723-0000	b061c204332c79700fee28630978e75e504629810d32c0e1733e765993de450b	1e8811e1b97b0cc827fc5ba8cb8afd910ba29047cfbea418be3cdb598c0aba8f	7e18cf1e820bc27d29be027f10f2e73f23d0f4b1a78292b0fee027890c5468a7
librispeech-test-other-6128-63241-0013	test-other	10-20	16.450000	6128	F	6128-63241-0013	8846660b397b28da910eead001e9ada5a1f5fbfe7db1ecd1782bda15ab3cd5af	14fa32adb21d98e08997309a194b1107c91f5f9249f414a91a9076ae05edd47b	4e9dea64f46544fe65c73e76a8aa69f601849723013c369a9a67c4de2d928dc9
librispeech-test-other-5484-24318-0013	test-other	10-20	12.710000	5484	F	5484-24318-0013	196c9f33502781693dd180ebe23ed366ae7fc72128fbafaaaf154d9bf8f9f622	e06f84c230e2fcea9dcece155059c5c85bcb35653dbb04fe1cf17e5d67a4f69b	845f7869bd85ea1c2a5d1bbd5256da568b96a6076b4ad39ee9e396e7c579e293
librispeech-test-other-7105-2340-0026	test-other	10-20	13.095000	7105	M	7105-2340-0026	6c014bd47eee85426ad83a578f19d5c5bd67a29d2983a07c34b50b33b4e2e1ab	d9c4be210979857b9d4cfbd1a7dbbac13cadcccd8db76d0174a12c738fcb7bf8	b0373a4d13800a483e900162823e55d747d7beb981a5d202177679b405de2278
librispeech-test-other-8188-274364-0000	test-other	10-20	12.570000	8188	M	8188-274364-0000	d9fbf7459a757f1705b1bf2331ede8885838de264cb889085bc8409e0590a28d	b0decefc0d9f9fd4069e361eb200e9ad14cdc0c9d4a09b2d60dc61597c3b3415	0e5eff82117d7217c4d060024cf06ce04647078753dca5457c401f01d4fa0218
librispeech-test-other-8461-278226-0001	test-other	20-29	27.150000	8461	F	8461-278226-0001	14312b90ffefdbf48e48ad01e3b242f4549c509ee8ba551da8c4ff69afa3425c	b4ffa29527ad50c6b62793b5033c2436f1233cb4d56a0d92d1eeb35742addaa3	27b83032ddf3be97263055d96bb0f23966933324050a1fec2c1714b41e629dca
librispeech-test-other-3331-159605-0008	test-other	20-29	21.530000	3331	F	3331-159605-0008	1c5f6cd142bc727a0406ed10245c1fdd155441fa6e9340d7fe821c0ae88b4328	1d21aa55ed79244159e9cc84036f4231330868f4617351b50c0effa0a6ae4abe	791ec90aaea62a4a1b2985349b70fe08673522dd5c0907209abac9558fe2aae6
librispeech-test-other-2033-164914-0021	test-other	20-29	21.250000	2033	M	2033-164914-0021	3a91c8c98ea6f7d6e2996b955da169e93e8a86deb4c8c4af1b74e4f0ca287629	332e2529f6b4e729d8ae70adc46cb0b16184b404ea57b6f144df3930473c338c	e9e679874056c3312559cf6f7312bd19635276ebdf909d04866e82448f0d546a
librispeech-test-other-7018-75789-0026	test-other	20-29	26.090000	7018	M	7018-75789-0026	a37a054e15f69079a576ba44ce75e393f5fe9440927142260013819a4c35dbda	c4b63430369b511049f51aaa735302ffc0ffa07972f18d59b3385423e82cc6da	328b70757cfd5e53d95c84bbc2d527d7e11aa7b542fa0a98f3838e625ead5af9
